rownames,sex,age,educ,farm,hhsize,commune,lnhhexp,lnexp12m
1,2,68,2,0,6,1,10.13649368,11.23321152
2,2,57,6,0,6,1,10.25205517,8.505120277
3,1,42,7,0,6,1,10.9323101,8.713418007
4,2,72,6,0,6,1,10.26748657,9.291735649
5,2,73,2,0,8,1,10.48811436,7.555381775
6,2,66,7,0,7,1,10.52659607,9.789702415
7,2,73,2,0,9,1,10.22996235,8.192847252
8,1,46,6,0,4,1,9.526501656,5.783825397
9,1,50,5,0,5,1,10.49031067,7.506591797
10,1,45,5,0,4,1,10.02006721,5.783825397
11,1,75,2,0,6,1,10.49316692,8.117908478
12,1,44,6,0,3,1,8.461614609,6.82979393
13,1,51,5,0,4,1,9.578439713,7.265429497
14,2,48,9,0,4,1,10.70516968,7.575584888
15,1,54,9,0,4,1,10.18803596,7.455298424
16,1,43,9,0,3,1,10.739151,4.867534637
17,2,41,7,0,4,1,9.67001915,6.516192913
18,2,70,2,0,2,1,10.05101109,6.388561249
19,1,67,4,0,2,1,9.15069294,6.371612072
20,1,62,4,0,7,1,10.01966572,6.326149464
21,1,74,2,0,5,1,9.767264366,8.285261154
22,1,70,4,0,2,1,9.937280655,4.762174129
23,1,61,6,0,6,1,9.800908089,5.609471798
24,1,75,2,0,3,1,8.925098419,7.170119762
25,2,81,2,0,2,1,9.612205505,6.856462002
26,1,53,5,0,9,1,9.863017082,6.659294128
27,1,60,2,0,3,1,8.513925552,5.272999763
28,1,74,3,0,5,1,9.416303635,6.55393362
29,1,42,7,0,8,1,10.28060818,7.585280895
30,2,70,0,0,5,1,10.05102539,7.82763958
31,2,51,4,0,5,2,11.01956367,7.393262863
32,1,73,2,0,2,2,8.961785316,7.811973572
33,2,62,2,0,5,2,10.00049973,5.272999763
34,2,58,3,0,4,2,10.17880154,9.010668755
35,1,56,9,0,5,2,10.60514832,
36,2,53,6,0,6,2,9.876953125,6.551080227
37,2,65,0,0,1,2,8.76012516,7.064759254
38,2,32,9,0,4,2,10.37392616,
39,1,52,6,0,4,2,10.0327425,7.352441311
40,1,50,6,0,5,2,10.12884045,6.253829002
41,1,71,7,0,4,2,10.11145115,9.404837608
42,1,87,0,0,5,2,9.785716057,7.007600784
43,1,44,9,0,4,2,10.20301056,4.174387455
44,1,47,7,0,5,2,10.60714626,5.98896122
45,1,27,3,0,3,2,10.5501585,7.299797535
46,1,38,6,0,4,2,10.20391083,8.104703903
47,1,34,6,0,4,2,9.863342285,5.700443745
48,2,70,2,0,3,2,9.491339684,6.47697258
49,1,55,6,0,4,2,10.20169353,8.828347206
50,1,73,2,0,3,2,9.880062103,10.04931831
51,1,39,3,0,3,2,9.487888336,7.729735374
52,2,45,5,0,4,2,9.562902451,6.47697258
53,1,48,4,0,7,2,10.72291946,6.47697258
54,2,45,5,0,5,2,11.13498688,9.122601509
55,2,48,9,0,4,2,11.389431,6.813444614
56,1,43,4,0,3,2,10.44102478,7.525640011
57,2,39,7,0,4,2,10.36349964,4.553876877
58,2,74,0,0,2,2,9.965157509,7.958576679
59,1,58,7,0,4,2,10.45079613,8.379998207
60,2,50,7,0,8,2,10.7644558,9.13884449
61,2,54,7,0,5,3,10.10036469,8.202482224
62,1,85,6,0,3,3,9.779410362,4.867534637
63,2,64,9,0,7,3,10.6860466,7.175489902
64,2,53,4,0,4,3,9.823630333,8.285261154
65,1,63,4,0,4,3,10.2310276,6.120297432
66,1,35,5,0,4,3,10.16296101,7.474205017
67,2,51,9,0,4,3,10.88696098,9.563459396
68,2,49,9,0,5,3,10.96924591,
69,1,45,9,0,3,3,10.58620739,
70,1,73,3,0,2,3,9.288619041,7.41697979
71,2,64,6,0,3,3,9.90251255,6.806829453
72,1,63,4,0,5,3,9.620718956,5.703782558
73,1,56,9,0,3,3,10.07462788,
74,2,55,9,0,2,3,10.02566433,3.663561583
75,1,37,9,0,4,3,10.26736259,
76,1,76,9,0,2,3,9.67093277,8.556413651
77,1,60,9,0,7,3,11.1402874,5.860786438
78,1,54,9,0,7,3,11.23363781,7.958576679
79,1,71,7,0,2,3,9.270723343,8.285261154
80,1,66,9,0,3,3,9.880104065,
81,2,58,4,1,1,3,9.424463272,
82,2,40,9,0,2,3,9.555874825,5.820083141
83,2,59,6,0,2,3,9.493703842,6.507277489
84,1,47,9,0,4,3,9.520084381,4.60517025
85,1,62,5,0,3,3,10.01625061,4.64439106
86,1,40,7,0,4,3,10.39612961,12.36324692
87,1,48,7,0,3,3,10.52127457,6.845880032
88,1,38,4,0,4,3,9.882025719,0.693147182
89,1,71,9,0,4,3,10.79858971,9.116029739
90,2,74,2,0,1,3,8.174431801,
91,1,64,9,0,5,3,10.68691826,3.401197433
92,1,59,6,0,5,3,9.966217041,
93,1,38,5,0,2,4,9.900512695,8.192570686
94,2,25,5,0,5,4,11.17788887,4.709530354
95,1,70,3,0,3,4,9.377966881,4.762174129
96,1,60,3,0,4,4,10.12746239,
97,2,38,6,0,4,4,10.41963577,7.21890974
98,2,34,5,0,4,4,9.906592369,
99,1,42,7,0,4,4,10.17318535,6.018593311
100,1,49,7,0,4,4,10.19065285,5.700443745
101,2,64,6,0,5,4,10.23852348,7.352441311
102,1,71,9,0,2,4,9.191465378,4.867534637
103,1,43,7,0,4,4,10.95494938,8.086410522
104,1,45,9,0,4,4,10.4611311,6.572282314
105,1,46,3,0,4,4,9.096475601,7.21890974
106,1,72,9,0,2,4,9.592575073,8.045588493
107,1,42,7,0,4,4,9.65553093,8.556413651
